# authors=Abraxas1010 (IAOM / Apoth3osis); The Institute for Ontological Mathematics / Equation Capital dba Apoth3osis
# generated_by=scripts/small-step-coverage.py
# instruction_source_sha256=4cb0ec52705959906122b09d88414bfa05a81b1776eb3be3a5392e23e773543b
instruction,decoder,old_semantics,step_relation,step_function,soundness,completeness,determinism,invariant_preservation,old_new_refinement,examples,testsuite,differential_seed,milestone,notes
remSI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
eqzI64,present,present,migrated,migrated,proved_global,proved_global,proved_global,proved_global,proved_global,small_step_examples,baseline_not_attributed,not_attributed,M2_pure_core,initial observation-labelled slice
eqI64,present,present,migrated,migrated,proved_global,proved_global,proved_global,proved_global,proved_global,small_step_examples,baseline_not_attributed,not_attributed,M2_pure_core,initial observation-labelled slice
neI64,present,present,migrated,migrated,proved_global,proved_global,proved_global,proved_global,proved_global,small_step_examples,baseline_not_attributed,not_attributed,M2_pure_core,initial observation-labelled slice
ltUI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
ltSI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
gtUI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
gtSI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
leUI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
leSI64,present,present,migrated,migrated,proved_global,proved_global,proved_global,proved_global,proved_global,small_step_examples,baseline_not_attributed,not_attributed,M2_pure_core,initial observation-labelled slice
geUI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
geSI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
andI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
orI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
xorI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
shlI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
shrUI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
shrSI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
rotlI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
rotrI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
clzI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
ctzI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
popcntI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
wrapI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
extendSI32,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
extendUI32,present,present,migrated,migrated,proved_global,proved_global,proved_global,proved_global,proved_global,small_step_examples,baseline_not_attributed,not_attributed,M2_pure_core,initial observation-labelled slice
extend8S,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
extend16S,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
extend8SI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
extend16SI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
extend32SI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Const,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Const,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Add,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Sub,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Mul,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Div,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Min,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Max,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Copysign,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Add,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Sub,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Mul,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Div,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Min,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Max,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Copysign,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Abs,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Neg,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Sqrt,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Ceil,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
